what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1250760619672
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1250760633187
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.newWizard,1250760633203
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1250760634312
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1250760905218
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1250760929375
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1250761300953
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1250761306359
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1250761336093
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1250761615797
activated,editor,org.eclipse.wst.xml.ui,1.0.430.v200901212230,org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart,1250761618297
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1250761620172
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1250761633656
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1250761649875
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.newWizard,1250761649890
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1250762358953
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1250762537187
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1250762541312
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1250762541390
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1250762541656
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1250762542578
started,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1250762542734
started,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1250762542734
started,bundle,org.eclipse.mylyn.pde.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.pde.ui,1250762542906
started,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1250762542968
